accuracy,accuracy_change,baseline_accuracy,baseline_head_movement,baseline_head_rotation,baseline_hover_rate,baseline_mean_decision_rt,baseline_pause_rate,baseline_ray_movement_distance,baseline_response_speed,block_id,blocks_path,body_movement_change,decision_time_change,head_movement,head_rotation,hover_rate,interaction_exploration_change,mean_decision_rt,metrics_path,participant_id,pause_rate,ray_movement_distance,response_speed,response_speed_change,scope,target_dimension,task_type
0.9,same,1.0,0.555652,204.8258,1.875,1.8308,0.375,18.5576,0.54622,combined_high_repeat_1,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P003\20260727T013038Z_c7d003\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P003_20260727_133038_completed.csv,higher,same,0.840354,287.452,7.2,same,1.7192,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P003\20260727T013038Z_c7d003\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_01_combined_high_repeat_1_P003_20260727_132600_Metrics.csv,P003,0.2,34.49774,0.581679,same,combined,Effort / overall workload,combined_high_repeat_1
0.7,lower,1.0,0.555652,204.8258,1.875,1.8308,0.375,18.5576,0.54622,combined_high_repeat_2,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P003\20260727T013038Z_c7d003\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P003_20260727_133038_completed.csv,higher,lower,0.590638,226.956,8.3,higher,1.4711,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P003\20260727T013038Z_c7d003\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_02_combined_high_repeat_2_P003_20260727_132600_Metrics.csv,P003,0.9,25.01353,0.679759,higher,combined,Effort / overall workload,combined_high_repeat_2
0.875,same,0.875,0.369365,199.147,2.75,1.8222,0.875,19.72902,0.548794,baseline,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T054709Z_6ef9e2\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P004_20260727_175355_completed.csv,same,same,0.369365,199.147,2.75,same,1.8222,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T054709Z_6ef9e2\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_01_baseline_P004_20260727_174711_Metrics.csv,P004,0.875,19.72902,0.548794,same,calibration,low workload baseline,baseline
0.7,lower,0.875,0.369365,199.147,2.75,1.8222,0.875,19.72902,0.548794,cognitive_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T054709Z_6ef9e2\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P004_20260727_175355_completed.csv,higher,higher,0.802071,406.8504,6.6,higher,4.2796,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T054709Z_6ef9e2\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_02_cognitive_heavy_P004_20260727_174711_Metrics.csv,P004,1.7,29.17873,0.233664,lower,calibration,Mental Demand,cognitive_heavy
0.8,same,0.875,0.369365,199.147,2.75,1.8222,0.875,19.72902,0.548794,physical_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T054709Z_6ef9e2\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P004_20260727_175355_completed.csv,same,same,0.274892,129.4478,1.4,lower,1.9146,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T054709Z_6ef9e2\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_03_physical_heavy_P004_20260727_174711_Metrics.csv,P004,0.8,37.05306,0.522292,same,calibration,Physical Demand,physical_heavy
0.8,same,0.875,0.369365,199.147,2.75,1.8222,0.875,19.72902,0.548794,temporal_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T054709Z_6ef9e2\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P004_20260727_175355_completed.csv,lower,lower,0.104073,8.667362,2.1,lower,1.189,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T054709Z_6ef9e2\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_04_temporal_heavy_P004_20260727_174711_Metrics.csv,P004,0.2,18.33981,0.841076,higher,calibration,Temporal Demand,temporal_heavy
0.2,lower,0.875,0.369365,199.147,2.75,1.8222,0.875,19.72902,0.548794,combined_high_repeat_1,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T055409Z_75541b\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P004_20260727_175731_completed.csv,lower,higher,0.327024,131.5639,14.9,higher,2.0117,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T055409Z_75541b\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_01_combined_high_repeat_1_P004_20260727_175411_Metrics.csv,P004,1.1,17.47555,0.497084,same,combined,Effort / overall workload,combined_high_repeat_1
0.3,lower,0.875,0.369365,199.147,2.75,1.8222,0.875,19.72902,0.548794,combined_high_repeat_2,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T055409Z_75541b\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P004_20260727_175731_completed.csv,higher,same,0.461362,219.566,7.9,same,1.9129,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P004\20260727T055409Z_75541b\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_02_combined_high_repeat_2_P004_20260727_175411_Metrics.csv,P004,0.4,25.65835,0.522757,same,combined,Effort / overall workload,combined_high_repeat_2
1.0,same,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,baseline,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P515_20260725_155216_completed.csv,same,same,0.240177,133.2195,1.125,same,0.9815,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_01_baseline_P515_20260725_154554_Metrics.csv,P515,0.5,14.35543,1.018892,same,calibration,low workload baseline,baseline
0.9,same,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,cognitive_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P515_20260725_155216_completed.csv,higher,higher,0.513168,254.7068,3.9,higher,2.5047,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_02_cognitive_heavy_P515_20260725_154554_Metrics.csv,P515,2.6,23.25121,0.39925,lower,calibration,Mental Demand,cognitive_heavy
1.0,same,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,physical_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P515_20260725_155216_completed.csv,higher,higher,1.302526,802.7886,1.3,higher,2.1719,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_03_physical_heavy_P515_20260725_154554_Metrics.csv,P515,2.3,46.1711,0.46042,lower,calibration,Physical Demand,physical_heavy
1.0,same,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,temporal_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P515_20260725_155216_completed.csv,higher,higher,0.489078,266.0686,2.4,higher,1.4701,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_04_temporal_heavy_P515_20260725_154554_Metrics.csv,P515,1.2,19.07282,0.680243,lower,calibration,Temporal Demand,temporal_heavy
0.8,lower,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,combined_high_repeat_1,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T035234Z_7f0618\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P515_20260725_155554_completed.csv,higher,higher,0.515803,274.3229,14.5,higher,1.8073,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T035234Z_7f0618\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_01_combined_high_repeat_1_P515_20260725_155236_Metrics.csv,P515,1.4,27.73295,0.55332,lower,combined,Effort / overall workload,combined_high_repeat_1
0.8,lower,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,combined_high_repeat_2,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T035234Z_7f0618\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P515_20260725_155554_completed.csv,higher,higher,0.554895,288.3844,6.9,higher,1.9353,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T035234Z_7f0618\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_02_combined_high_repeat_2_P515_20260725_155236_Metrics.csv,P515,1.8,29.98561,0.516717,lower,combined,Effort / overall workload,combined_high_repeat_2
1.0,same,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,baseline,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P516_20260726_162017_completed.csv,same,same,0.372658,196.7357,1.625,same,0.9693,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_01_baseline_P516_20260726_161425_Metrics.csv,P516,0.25,15.03187,1.031638,same,calibration,low workload baseline,baseline
0.9,same,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,cognitive_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P516_20260726_162017_completed.csv,higher,higher,0.564172,274.3059,3.8,higher,2.2503,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_02_cognitive_heavy_P516_20260726_161425_Metrics.csv,P516,1.4,19.8241,0.444376,lower,calibration,Mental Demand,cognitive_heavy
1.0,same,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,temporal_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P516_20260726_162017_completed.csv,higher,higher,0.487068,267.4638,2.5,higher,1.1389,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_03_temporal_heavy_P516_20260726_161425_Metrics.csv,P516,0.5,22.36406,0.878049,lower,calibration,Temporal Demand,temporal_heavy
1.0,same,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,physical_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P516_20260726_162017_completed.csv,higher,higher,1.110194,547.7585,1.4,lower,2.3275,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_04_physical_heavy_P516_20260726_161425_Metrics.csv,P516,0.1,70.00906,0.429638,lower,calibration,Physical Demand,physical_heavy
0.7,lower,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,combined_high_repeat_1,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T042034Z_bf45ba\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P516_20260726_162343_completed.csv,higher,higher,0.707102,376.4159,9.9,higher,1.9365,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T042034Z_bf45ba\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_01_combined_high_repeat_1_P516_20260726_162035_Metrics.csv,P516,0.5,36.33528,0.516397,lower,combined,Effort / overall workload,combined_high_repeat_1
0.8,lower,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,combined_high_repeat_2,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T042034Z_bf45ba\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P516_20260726_162343_completed.csv,higher,higher,0.477134,269.5675,10.1,higher,1.7473,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T042034Z_bf45ba\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_02_combined_high_repeat_2_P516_20260726_162035_Metrics.csv,P516,0.7,31.78592,0.572327,lower,combined,Effort / overall workload,combined_high_repeat_2
