aic,axis,bic,classes,entropy,log_likelihood,smallest_effective_class_n
580.7681488454431,X,603.2225609763377,1,1.0,-278.38407442272154,48.0
527.7152432775092,X,574.4952685502064,2,0.9997785049735467,-238.85762163875458,20.008828461066546
520.3372503882588,X,591.4428888027586,3,0.9988005200494846,-222.1686251941294,6.027078036720056
