Y_class,Y_class_description,Y_posterior,Y_posterior_1,Y_posterior_2,accuracy,accuracy_change,baseline_accuracy,baseline_head_movement,baseline_head_rotation,baseline_hover_rate,baseline_mean_decision_rt,baseline_pause_rate,baseline_ray_movement_distance,baseline_response_speed,block_id,blocks_path,body_movement_change,decision_time_change,head_movement,head_rotation,hover_rate,interaction_exploration_change,mean_decision_rt,metrics_path,participant_id,pause_rate,ray_movement_distance,response_speed,response_speed_change,scope,target_dimension,task_type
Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9972509686775082,0.9972509686775082,0.0027490313224914358,0.7,lower,1.0,0.555652,204.8258,1.875,1.8308,0.375,18.5576,0.54622,combined_high_repeat_2,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P003\20260727T013038Z_c7d003\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P003_20260727_133038_completed.csv,higher,lower,0.590638,226.956,8.3,higher,1.4711,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P003\20260727T013038Z_c7d003\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_02_combined_high_repeat_2_P003_20260727_132600_Metrics.csv,P003,0.9,25.01353,0.679759,higher,combined,Effort / overall workload,combined_high_repeat_2
Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999999799690473,0.9999999799690473,2.003095249996373e-08,1.0,same,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,baseline,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P515_20260725_155216_completed.csv,same,same,0.240177,133.2195,1.125,same,0.9815,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_01_baseline_P515_20260725_154554_Metrics.csv,P515,0.5,14.35543,1.018892,same,calibration,low workload baseline,baseline
Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999960281625279,3.9718374719687015e-06,0.9999960281625279,0.9,same,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,cognitive_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P515_20260725_155216_completed.csv,higher,higher,0.513168,254.7068,3.9,higher,2.5047,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_02_cognitive_heavy_P515_20260725_154554_Metrics.csv,P515,2.6,23.25121,0.39925,lower,calibration,Mental Demand,cognitive_heavy
Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999960281625279,3.9718374719687015e-06,0.9999960281625279,1.0,same,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,physical_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P515_20260725_155216_completed.csv,higher,higher,1.302526,802.7886,1.3,higher,2.1719,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_03_physical_heavy_P515_20260725_154554_Metrics.csv,P515,2.3,46.1711,0.46042,lower,calibration,Physical Demand,physical_heavy
Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999960281625279,3.9718374719687015e-06,0.9999960281625279,1.0,same,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,temporal_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P515_20260725_155216_completed.csv,higher,higher,0.489078,266.0686,2.4,higher,1.4701,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T034553Z_c7eaef\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_04_temporal_heavy_P515_20260725_154554_Metrics.csv,P515,1.2,19.07282,0.680243,lower,calibration,Temporal Demand,temporal_heavy
Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,8.672214790126138e-07,0.999999132778521,0.8,lower,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,combined_high_repeat_1,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T035234Z_7f0618\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P515_20260725_155554_completed.csv,higher,higher,0.515803,274.3229,14.5,higher,1.8073,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T035234Z_7f0618\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_01_combined_high_repeat_1_P515_20260725_155236_Metrics.csv,P515,1.4,27.73295,0.55332,lower,combined,Effort / overall workload,combined_high_repeat_1
Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,8.672214790126138e-07,0.999999132778521,0.8,lower,1.0,0.240177,133.2195,1.125,0.9815,0.5,14.35543,1.018892,combined_high_repeat_2,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T035234Z_7f0618\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P515_20260725_155554_completed.csv,higher,higher,0.554895,288.3844,6.9,higher,1.9353,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P515\20260725T035234Z_7f0618\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_02_combined_high_repeat_2_P515_20260725_155236_Metrics.csv,P515,1.8,29.98561,0.516717,lower,combined,Effort / overall workload,combined_high_repeat_2
Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999999799690473,0.9999999799690473,2.003095249996373e-08,1.0,same,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,baseline,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P516_20260726_162017_completed.csv,same,same,0.372658,196.7357,1.625,same,0.9693,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_01_baseline_P516_20260726_161425_Metrics.csv,P516,0.25,15.03187,1.031638,same,calibration,low workload baseline,baseline
Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999960281625279,3.9718374719687015e-06,0.9999960281625279,0.9,same,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,cognitive_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P516_20260726_162017_completed.csv,higher,higher,0.564172,274.3059,3.8,higher,2.2503,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_02_cognitive_heavy_P516_20260726_161425_Metrics.csv,P516,1.4,19.8241,0.444376,lower,calibration,Mental Demand,cognitive_heavy
Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999960281625279,3.9718374719687015e-06,0.9999960281625279,1.0,same,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,temporal_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P516_20260726_162017_completed.csv,higher,higher,0.487068,267.4638,2.5,higher,1.1389,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_03_temporal_heavy_P516_20260726_161425_Metrics.csv,P516,0.5,22.36406,0.878049,lower,calibration,Temporal Demand,temporal_heavy
Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999746994165285,2.5300583471066992e-05,0.9999746994165285,1.0,same,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,physical_heavy,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\WorkloadProbe_Blocks_P516_20260726_162017_completed.csv,higher,higher,1.110194,547.7585,1.4,lower,2.3275,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T041424Z_2532d9\workload-probe\XRWorkloadProbe_Data\XRWorkloadProbe_Behavior_04_physical_heavy_P516_20260726_161425_Metrics.csv,P516,0.1,70.00906,0.429638,lower,calibration,Physical Demand,physical_heavy
Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,8.672214790126138e-07,0.999999132778521,0.7,lower,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,combined_high_repeat_1,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T042034Z_bf45ba\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P516_20260726_162343_completed.csv,higher,higher,0.707102,376.4159,9.9,higher,1.9365,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T042034Z_bf45ba\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_01_combined_high_repeat_1_P516_20260726_162035_Metrics.csv,P516,0.5,36.33528,0.516397,lower,combined,Effort / overall workload,combined_high_repeat_1
Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,8.672214790126138e-07,0.999999132778521,0.8,lower,1.0,0.372658,196.7357,1.625,0.9693,0.25,15.03187,1.031638,combined_high_repeat_2,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T042034Z_bf45ba\combined-probe\XRCombinedProbe_Data\WorkloadProbe_Blocks_P516_20260726_162343_completed.csv,higher,higher,0.477134,269.5675,10.1,higher,1.7473,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P516\20260726T042034Z_bf45ba\combined-probe\XRCombinedProbe_Data\XRWorkloadProbe_Behavior_02_combined_high_repeat_2_P516_20260726_162035_Metrics.csv,P516,0.7,31.78592,0.572327,lower,combined,Effort / overall workload,combined_high_repeat_2
