axis,class_id,class_weight,conditional_probability,feature,is_modal_state,state
X,X1,0.4168505929388864,0.10173845967151261,answer_speed_state,0,high
X,X1,0.4168505929388864,0.0521082146826728,answer_speed_state,0,low
X,X1,0.4168505929388864,0.8461533256458146,answer_speed_state,1,typical
X,X1,0.4168505929388864,0.9950082215381161,answer_path_state,1,direct
X,X1,0.4168505929388864,0.002486149428839933,answer_path_state,0,extended
X,X1,0.4168505929388864,0.002505629033043965,answer_path_state,0,typical
X,X1,0.4168505929388864,0.34988311565993807,answer_decision_state,1,fast
X,X1,0.4168505929388864,0.3002448761146391,answer_decision_state,0,slow
X,X1,0.4168505929388864,0.34987200822542286,answer_decision_state,0,typical
X,X1,0.4168505929388864,0.9950082215381161,answer_reverse_state,1,few
X,X1,0.4168505929388864,0.002490241946738632,answer_reverse_state,0,many
X,X1,0.4168505929388864,0.002501536515145266,answer_reverse_state,0,typical
X,X1,0.4168505929388864,0.1513741169977577,answer_pause_state,0,high
X,X1,0.4168505929388864,0.34986905435822097,answer_pause_state,0,low
X,X1,0.4168505929388864,0.4987568286440213,answer_pause_state,1,typical
X,X1,0.4168505929388864,0.4987605950770642,confidence_decision_state,1,fast
X,X1,0.4168505929388864,0.30024130808554794,confidence_decision_state,0,slow
X,X1,0.4168505929388864,0.20099809683738795,confidence_decision_state,0,typical
X,X2,0.5831494070611136,0.21492107137458533,answer_speed_state,0,high
X,X2,0.5831494070611136,0.07282522603024078,answer_speed_state,0,low
X,X2,0.5831494070611136,0.7122537025951738,answer_speed_state,1,typical
X,X2,0.5831494070611136,0.0017788380993245022,answer_path_state,0,direct
X,X2,0.5831494070611136,0.49911755308512545,answer_path_state,1,extended
X,X2,0.5831494070611136,0.49910360881555,answer_path_state,0,typical
X,X2,0.5831494070611136,0.10833858548554369,answer_decision_state,0,fast
X,X2,0.5831494070611136,0.7833148778888612,answer_decision_state,1,slow
X,X2,0.5831494070611136,0.10834653662559503,answer_decision_state,0,typical
X,X2,0.5831494070611136,0.0017788380993245024,answer_reverse_state,0,few
X,X2,0.5831494070611136,0.6767377571794053,answer_reverse_state,1,many
X,X2,0.5831494070611136,0.3214834047212702,answer_reverse_state,0,typical
X,X2,0.5831494070611136,0.21491453541007985,answer_pause_state,0,high
X,X2,0.5831494070611136,0.3925456650085374,answer_pause_state,1,low
X,X2,0.5831494070611136,0.39253979958138274,answer_pause_state,0,typical
X,X2,0.5831494070611136,0.5346356103640475,confidence_decision_state,1,fast
X,X2,0.5831494070611136,0.35702191119261045,confidence_decision_state,0,slow
X,X2,0.5831494070611136,0.10834247844334208,confidence_decision_state,0,typical
