axis,class_id,class_weight,conditional_probability,feature,is_modal_state,state
X,X1,0.41681049957870975,0.08151104117725014,answer_speed_state,0,high
X,X1,0.41681049957870975,0.041749112643302916,answer_speed_state,0,low
X,X1,0.41681049957870975,0.8767398461794469,answer_speed_state,1,typical
X,X1,0.41681049957870975,0.9960091804431714,answer_path_state,1,direct
X,X1,0.41681049957870975,0.0019910461317034917,answer_path_state,0,extended
X,X1,0.41681049957870975,0.001999773425125093,answer_path_state,0,typical
X,X1,0.41681049957870975,0.28031908402673117,answer_decision_state,0,fast
X,X1,0.41681049957870975,0.240556463949785,answer_decision_state,0,slow
X,X1,0.41681049957870975,0.47912445202348386,answer_decision_state,1,typical
X,X1,0.41681049957870975,0.9960091804431714,answer_reverse_state,1,few
X,X1,0.41681049957870975,0.001992466076176431,answer_reverse_state,0,many
X,X1,0.41681049957870975,0.001998353480652153,answer_reverse_state,0,typical
X,X1,0.41681049957870975,0.12127470422410615,answer_pause_state,0,high
X,X1,0.41681049957870975,0.439362013526592,answer_pause_state,0,low
X,X1,0.41681049957870975,0.4393632822493018,answer_pause_state,1,typical
X,X1,0.41681049957870975,0.479125981245105,confidence_decision_state,1,fast
X,X1,0.41681049957870975,0.28031649191909336,confidence_decision_state,0,slow
X,X1,0.41681049957870975,0.24055752683580164,confidence_decision_state,0,typical
X,X2,0.5831895004212901,0.25746947487362093,answer_speed_state,0,high
X,X2,0.5831895004212901,0.0583219053077802,answer_speed_state,0,low
X,X2,0.5831895004212901,0.6842086198185989,answer_speed_state,1,typical
X,X2,0.5831895004212901,0.0014241755724298246,answer_path_state,0,direct
X,X2,0.5831895004212901,0.4281666498127628,answer_path_state,0,extended
X,X2,0.5831895004212901,0.5704091746148073,answer_path_state,1,typical
X,X2,0.5831895004212901,0.08676855868385239,answer_decision_state,0,fast
X,X2,0.5831895004212901,0.6557648384556164,answer_decision_state,1,slow
X,X2,0.5831895004212901,0.2574666028605312,answer_decision_state,0,typical
X,X2,0.5831895004212901,0.0014241755724298246,answer_reverse_state,0,few
X,X2,0.5831895004212901,0.5704144031702849,answer_reverse_state,1,many
X,X2,0.5831895004212901,0.42816142125728524,answer_reverse_state,0,typical
X,X2,0.5831895004212901,0.20056801851896078,answer_pause_state,0,high
X,X2,0.5831895004212901,0.4281661985101401,answer_pause_state,1,low
X,X2,0.5831895004212901,0.3712657829708991,answer_pause_state,0,typical
X,X2,0.5831895004212901,0.48506353964190074,confidence_decision_state,1,fast
X,X2,0.5831895004212901,0.3143684443593862,confidence_decision_state,0,slow
X,X2,0.5831895004212901,0.2005680159987129,confidence_decision_state,0,typical
