analysisSchemaVersion,participantId,sessionNumber,conditionLabel,runId,sequenceCode,method,methodFirstPresentationOrder,methodComplete,qualityFlags,exportReason,generatedUtc,inputResponseMode,inputItems,inputExactMatches,inputAccuracy,inputMeanAbsoluteError,inputMaxAbsoluteError,inputMeanAnswerRt,inputMedianAnswerRt,inputValidFirstInteractionItems,inputMeanFirstInteractionRt,inputConfirmAttempts,inputConfirmCancels,inputIncompleteItems,susAnsweredItems,susScore,susComplete,susTotalRt,sus01,sus02,sus03,sus04,sus05,sus06,sus07,sus08,sus09,sus10,easyPresentationOrder,easyForm,easyTaskTrials,easyTaskCorrect,easyTaskAccuracy,easyTaskTimeouts,easyTaskMeanDecisionRt,easyTaskMedianDecisionRt,easyTaskSdDecisionRt,easyTaskTotalDecisionRt,easyTaskMeanPointerPath,easyTaskMeanPointerPeakSpeed,easyTaskMeanHoverChanges,easyNasaResponseMode,easyNasaItems,easyNasaComplete,easyNasaMental,easyNasaPhysical,easyNasaTemporal,easyNasaPerformance,easyNasaEffort,easyNasaFrustration,easyNasaRawMean,easyConfidenceComplete,easyConfidenceMean,easyConfidenceMental,easyConfidencePhysical,easyConfidenceTemporal,easyConfidencePerformance,easyConfidenceEffort,easyConfidenceFrustration,easyQuestionnaireMeanReadRt,easyQuestionnaireMeanAnswerRt,easyQuestionnaireMeanAnswerDecisionRt,easyQuestionnaireMeanConfidenceRt,easyQuestionnaireTotalRt,easyAnswerConfirmAttempts,easyAnswerConfirmCancels,hardPresentationOrder,hardForm,hardTaskTrials,hardTaskCorrect,hardTaskAccuracy,hardTaskTimeouts,hardTaskMeanDecisionRt,hardTaskMedianDecisionRt,hardTaskSdDecisionRt,hardTaskTotalDecisionRt,hardTaskMeanPointerPath,hardTaskMeanPointerPeakSpeed,hardTaskMeanHoverChanges,hardNasaResponseMode,hardNasaItems,hardNasaComplete,hardNasaMental,hardNasaPhysical,hardNasaTemporal,hardNasaPerformance,hardNasaEffort,hardNasaFrustration,hardNasaRawMean,hardConfidenceComplete,hardConfidenceMean,hardConfidenceMental,hardConfidencePhysical,hardConfidenceTemporal,hardConfidencePerformance,hardConfidenceEffort,hardConfidenceFrustration,hardQuestionnaireMeanReadRt,hardQuestionnaireMeanAnswerRt,hardQuestionnaireMeanAnswerDecisionRt,hardQuestionnaireMeanConfidenceRt,hardQuestionnaireTotalRt,hardAnswerConfirmAttempts,hardAnswerConfirmCancels
CAREXR_PAXSMComparison_AnalysisReady_v1,P77777,1,PAXSMComparison,20260719T072528Z_be6915,A: PAXSM-E / Click-H / PAXSM-H / Click-E,paxsm,1,1,none,completed,2026-07-19T08:31:22.343327Z,paxsm_main_scene_knobrig,3,3,1.0000,0.0000,0,4.5072,4.6075,2,1.6455,3,0,0,10,77.5000,1,70.7045,4,3,5,3,4,1,5,3,5,2,1,A,4,4,1.0000,0,1.7539,1.6839,0.6932,7.0155,1.9706,6.1741,2.5000,paxsm_main_scene_knobrig,6,1,2.0000,1.0000,2.0000,21.0000,4.0000,1.0000,5.1667,1,4.3333,5.0000,5.0000,5.0000,5.0000,5.0000,1.0000,1.9767,6.8007,5.9932,3.9704,76.4867,6,0,3,B,4,3,0.7500,0,6.4113,6.3067,1.6335,25.6454,2.1278,5.3039,2.0000,paxsm_main_scene_knobrig,6,1,17.0000,1.0000,15.0000,21.0000,19.0000,1.0000,12.3333,1,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,1.2177,6.0957,5.2888,3.4487,64.5728,6,0
CAREXR_PAXSMComparison_AnalysisReady_v1,P77777,1,PAXSMComparison,20260719T072528Z_be6915,A: PAXSM-E / Click-H / PAXSM-H / Click-E,point_click,2,1,none,completed,2026-07-19T08:31:22.343327Z,point_and_click_ray,3,3,1.0000,0.0000,0,2.5018,2.8550,3,0.4267,3,0,0,10,85.0000,1,57.6786,4,2,5,1,5,3,5,3,5,1,4,B,4,4,1.0000,0,1.7681,1.7262,0.3945,7.0722,1.4593,5.7607,1.7500,point_and_click_ray,6,1,3.0000,2.0000,6.0000,21.0000,11.0000,21.0000,10.6667,1,4.0000,5.0000,5.0000,4.0000,5.0000,4.0000,1.0000,0.8451,4.8327,4.8327,5.0349,64.2767,6,0,2,A,4,3,0.7500,0,5.4551,5.2290,2.4366,21.8206,1.9545,5.7304,2.0000,point_and_click_ray,6,1,13.0000,11.0000,8.0000,21.0000,13.0000,2.0000,11.3333,1,4.5000,4.0000,5.0000,3.0000,5.0000,5.0000,5.0000,1.9723,4.5484,4.5484,4.4227,65.6603,6,0
